age,HH,HU,HD,UH,UU,UD
50,0.96337841,0.035933789999999986,6.878e-4,0.15521077000000003,0.83406065,0.01072858
51,0.9619407899999999,0.037282909999999995,7.762999999999996e-4,0.15460689154606896,0.8337953983379539,0.011597710115977098
52,0.9604436296044363,0.03868020038680201,8.761700087617007e-4,0.15399414000000008,0.8334695,0.012536360000000005
53,0.95888397,0.04012715,9.888800000000004e-4,0.15337177,0.83307829,0.013549940000000005
54,0.9572586604274134,0.0416252595837474,0.0011160799888392007,0.15273898847261017,0.8326167616738324,0.01464424985355751
55,0.95556434,0.04317605000000002,0.00125961,0.15209493,0.83207956,0.01582551
56,0.9537973595379736,0.044781070447810704,0.0014215700142157003,0.15143869,0.8314609000000001,0.017100410000000003
57,0.9519538095195381,0.04644186046441861,0.0016043300160433,0.15076929150769297,0.8307546183075462,0.018476090184760905
58,0.95002949,0.04815997000000002,0.0018105400000000013,0.15008571000000007,0.8299541,0.019960190000000006
59,0.94801985,0.049936940000000006,0.0020432100000000006,0.14938683,0.8290522800000001,0.02156089
60,0.9459199905408001,0.0517743094822569,0.0023056999769430014,0.14867149000000002,0.82804161,0.0232869
61,0.9437246,0.05367358,0.00260182,0.14793843852061564,0.8269140317308596,0.02514752974852471
62,0.9414279094142791,0.055636230556362305,0.0029358600293586004,0.14718635,0.82566096,0.027152689999999997
63,0.93902364,0.05766371000000002,0.0033126500000000003,0.14641384000000005,0.82427324,0.029312920000000006
64,0.9365050099999999,0.059757369999999976,0.0037376199999999984,0.14561940999999998,0.82274115,0.03163943999999999
65,0.93386459,0.06191854000000001,0.00421687,0.14480151000000002,0.8210543800000001,0.03414411
66,0.93109432,0.0641484,0.00475728,0.1439585,0.81920199,0.036839509999999985
67,0.9281853792818539,0.06644805066448049,0.005366570053665699,0.14308864,0.81717242,0.039738940000000014
68,0.9251281307487187,0.06881843931181564,0.006053429939465705,0.14219010999999998,0.8149534700000001,0.04285642
69,0.9219120807808792,0.07126032928739676,0.0068275899317241035,0.14126102000000001,0.8125323000000001,0.04620668
70,0.9185257391852575,0.07377428073774277,0.007699980076999797,0.14029938,0.80989539,0.049805230000000006
71,0.9149565,0.07636063000000004,0.008682870000000006,0.1393031386069686,0.807028601929714,0.05366825946331741
72,0.9111906108880939,0.07901938920980608,0.009789999902099994,0.13827014,0.80391718,0.05781267999999999
73,0.90721304,0.08175025000000002,0.011036710000000005,0.13719819,0.8005457199999999,0.06225609000000001
74,0.9030073100000001,0.08455249999999997,0.012440189999999995,0.13608500000000004,0.79689827,0.06701673000000001
75,0.89855542,0.08742495999999998,0.014019619999999997,0.13492824134928244,0.7929583479295835,0.07211341072113413
76,0.89383773,0.09036591000000005,0.015796360000000006,0.13372555,0.78870897,0.07756548000000002
77,0.88883277,0.09337301999999999,0.017794210000000005,0.13247451999999998,0.7841327799999999,0.08339269999999999
78,0.88351718,0.09644322000000002,0.0200396,0.13117273,0.77921211,0.08961515999999999
79,0.87786553,0.09957265000000001,0.02256182,0.12981777870182218,0.7739290522607095,0.09625316903746829
80,0.8718502300000001,0.10275650999999998,0.025393260000000004,0.12840725999999997,0.76826568,0.10332705999999998
81,0.86544142,0.10598892999999998,0.028569649999999995,0.12693885,0.7622040899999999,0.11085705999999998
82,0.85860687,0.10926286000000002,0.03213027,0.12541027999999999,0.7557266499999999,0.11886307000000002
83,0.85131194,0.11256991000000001,0.03611815000000001,0.12381940999999999,0.7488161400000001,0.12736445000000002
84,0.84351958,0.11590019,0.04058022999999999,0.12216422877835773,0.7414560125854399,0.13637975863620241
85,0.8351903383519035,0.1192421511924215,0.04556751045567511,0.12044290879557092,0.7336306026636941,0.14592648854073514
86,0.8262825,0.12258245000000004,0.05113505,0.11865384,0.72532539,0.15602077
87,0.816752298167523,0.12590572125905722,0.05734198057341981,0.1167956811679568,0.7165272871652729,0.16667703166677034
88,0.8065541880655419,0.12919450129194499,0.0642513106425131,0.11486737999999999,0.70722491,0.17790771
89,0.79564133,0.13242902999999998,0.07192964,0.11286825887131743,0.6974089230259108,0.18972281810277178
90,0.7839661600000001,0.13558716,0.08044668,0.110798,0.6870723400000001,0.20212966
91,0.77148117,0.13864428,0.08987455,0.10865674108656741,0.6762108267621083,0.21513243215132435
92,0.7581399,0.14157330000000004,0.10028680000000002,0.10644512,0.66482302,0.22873186
93,0.74389809,0.14434469000000003,0.11175722,0.10416426,0.6529108499999999,0.24292489
94,0.728715112712849,0.14692663853073362,0.12435824875641754,0.10181585,0.64047981,0.25770434000000003
95,0.71255565,0.14928525999999998,0.13815908999999998,0.09940217999999999,0.62753916,0.27305866000000006
96,0.6953914900000001,0.15138501,0.15322349999999998,0.09692612999999997,0.6141022,0.28897167
97,0.6772035732279643,0.15318919846810802,0.16960722830392772,0.09439120000000001,0.60018639,0.30542241000000003
98,0.65798418,0.15466061000000003,0.18735521000000002,0.09180151000000002,0.58581345,0.32238504000000007
99,0.63773905,0.15576240999999996,0.20649854,0.08916180089161801,0.5710093657100938,0.33982883339828834
100,0.6208514635401027,0.15756608282960746,0.22158245363028986,0.08648817405368017,0.5558735150577714,0.3576383108885485
101,0.5995159998151186,0.1580997509078822,0.24238424927699923,0.08376646920269705,0.5403116524442059,0.37592187835309704
102,0.5773618721279643,0.15820998405038691,0.2644281438216488,0.08101245809829821,0.524421879974214,0.3945656619274877
103,0.5544608648439108,0.15787452715386452,0.28766460800222465,0.07823301285244584,0.5082459407059794,0.41352104644157467
104,0.5309015504809038,0.15707625453244398,0.3120221949866522,0.07543540075933919,0.4918287754472875,0.43273582379337333
105,0.5067886950239014,0.15580408506194768,0.33740721991415096,0.07262720677241875,0.47521806734101524,0.4521547258865661
106,0.4822419627130819,0.15405375857644285,0.36370427871047534,0.06981624741439353,0.4584637198154739,0.4717200327701325
107,0.45739390847326356,0.1518284139889058,0.3907776775378307,0.06701047809168069,0.44161727934659856,0.49137224256172074
108,0.43238729784089236,0.14913891690794331,0.4184737852511644,0.0642178960843601,0.42473131681243953,0.5110507871032004
109,0.40737184883911737,0.14600389780562636,0.4466242533552562,0.06144644168983029,0.4078587830089022,0.5306947753012675
110,0.38250054154901797,0.14244948024315898,0.47504997820782296,0.058703900098372286,0.3910523550220486,0.55024374487957906
